"CUSTOMER ID","CITY","STATE","SERVICE_HISTORY","COMMON PROBLEM","SERVICE_TYPE","VEHICAL COMPANY","SERIVCE_DATE","Revenue","Cost","CUSTOMER_NAME","REPEAT_CUSTOMER"
158,"Ananthapuram","Andhra Pradesh","Brake Service; Oil Change","Brake wear","Brake replacement","Hyundai",2024-02-11,147.6,63.47,"Limke Austin","No"
159,"Ananthapuram","Andhra Pradesh","Tire Replacement; Engine Check","Tire wear","Tire rotation and balancing","Bajaj Auto",2024-11-10,250.15,193.68,"Lasota Leroy","No"
160,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Brake Fluid Change","Exhaust noise","Exhaust system repair","Ford",2024-03-24,148.1,68.55,"el-Salameh Hadiyya","No"
161,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Inspection","Brake noise","Brake pad replacement","Maruti Suzuki",2024-01-11,276.03,181.85,"Pico Jay","No"
162,"Ananthapuram","Andhra Pradesh","Engine Repair; Diagnostics","Engine misfire","Diagnostic scan","Nissan",2024-04-30,209.26,98.23,"Norman Osheonna","Yes"
163,"Ananthapuram","Andhra Pradesh","Tire Rotation; Brake Service","Tire wear","Tire rotation and balancing","Hyundai",2024-10-28,342.49,139.75,"Berns-Laborde Mariah","No"
164,"Ananthapuram","Andhra Pradesh","Fluid Check; Oil Change","Low oil","Oil replacement","Ford",2024-03-25,218.62,133.04,"Watkins Alyssa","Yes"
165,"Ananthapuram","Andhra Pradesh","Brake Inspection; General Maintenance","Brake noise","Brake pad replacement","Mahindra",2024-12-30,209.95,91.23,"al-Rabbani Abdur Rahmaan","Yes"
166,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Tune-Up","Engine roughness","Spark plug replacement","Toyota",2024-07-12,290.16,148.91,"Torres William","Yes"
167,"Ananthapuram","Andhra Pradesh","Transmission Fluid Change; Brake Service","Slipping transmission","Transmission fluid change","Volkswagen",2024-04-16,383.15,217.7,"Jones Chloe","No"
168,"Ananthapuram","Andhra Pradesh","General Maintenance; Tire Inspection","Tire wear","Tire rotation","Audi",2024-03-17,149.5,94.92,"Causey Thanin","Yes"
169,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Fluid Change","Brake fluid leak","Brake fluid replacement","Tata Motors",2024-07-16,235.74,170.36,"Hunter Dillon","No"
170,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Engine Check","Exhaust noise","Exhaust system repair","Bajaj Auto",2024-09-05,169.56,81.52,"Hsu Sean","No"
171,"Ananthapuram","Andhra Pradesh","Battery Inspection; General Maintenance","Dead battery","Battery replacement","Hero MotoCorp",2024-07-18,333.49,194.68,"Etchells Nicholas","No"
172,"Ananthapuram","Andhra Pradesh","Fluid Leak; Tire Rotation","Fluid leak","Fluid replacement","TVS Motor Company",2024-06-08,132.72,76.88,"Mcgough Tucker","No"
173,"Ananthapuram","Andhra Pradesh","Engine Repair; Brake Service","Engine overheating","Cooling system flush","Hyundai",2024-09-06,438.64,304.2,"Cameron Holly","No"
174,"Ananthapuram","Andhra Pradesh","Brake Inspection; Oil Change","Brake noise","Brake pad replacement","Ford",2024-10-18,385.96,264.73,"Lane Kyle","No"
175,"Ananthapuram","Andhra Pradesh","Tire Replacement; Diagnostics","Tire damage","Tire replacement","Tata Motors",2024-01-16,350.73,256.91,"al-Shahin Sabri","Yes"
176,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Repair","Engine misfiring","Spark plug replacement","Nissan",2024-02-02,328.11,247.6,"Bernot Nicholas","Yes"
177,"Ananthapuram","Andhra Pradesh","Suspension Repair; Oil Change","Steering issues","Suspension adjustment","Kia",2024-02-09,217.51,169.89,"Hernandez Kelly","Yes"
178,"Ananthapuram","Andhra Pradesh","Brake Service; Tire Inspection","Brake wear","Brake pad replacement","Hero MotoCorp",2024-01-10,288.43,178.9,"al-Mahmoud Marwaan","No"
179,"Ananthapuram","Andhra Pradesh","Fluid Check; Engine Diagnostics","Fluid leak","Fluid replacement","Volkswagen",2024-07-18,443.61,270.13,"Jaquez Gustavo","No"
180,"Ananthapuram","Andhra Pradesh","Tire Alignment; Brake Inspection","Misaligned tires","Tire alignment","Mahindra",2024-05-04,311.79,146,"Cardoza Liukura","No"
181,"Ananthapuram","Andhra Pradesh","Exhaust Leak; General Maintenance","Exhaust noise","Exhaust system repair","Toyota",2024-09-21,427.9,253.19,"Vigil Brady Erik","No"
182,"Ananthapuram","Andhra Pradesh","Brake Repair; Oil Change","Brake noise","Brake pad replacement","Audi",2024-09-19,190.6,95.59,"Williams Abrielle","No"
183,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Repair","Brake noise","Brake pad replacement","Honda",2024-07-04,368.73,153.36,"Miller Lawrence","No"
184,"Ananthapuram","Andhra Pradesh","Transmission Service; Diagnostics","Transmission slipping","Transmission fluid change","Tata Motors",2024-03-01,169.26,110.68,"Aguirre Bustillos Gustavo","No"
185,"Ananthapuram","Andhra Pradesh","Tire Replacement; Oil Change","Poor fuel economy","Fuel system cleaning","Ford",2024-09-08,317.45,195.49,"Fick Brittany","No"
186,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Brake Service","Exhaust noise","Exhaust system repair","Hyundai",2024-05-31,266.58,121.57,"Walton Kinberlee","Yes"
187,"Ananthapuram","Andhra Pradesh","Brake Inspection; Tire Rotation","Misaligned wheels","Wheel alignment","Nissan",2024-11-14,169.26,86.91,"Jones Ciarra","No"
188,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Check","Engine misfiring","Spark plug replacement","Volkswagen",2024-02-23,304.07,192.54,"Pech John","Yes"
189,"Ananthapuram","Andhra Pradesh","Suspension Repair; Oil Change","Steering issues","Suspension adjustment","Kia",2024-01-26,460.93,214.8,"al-Baddour Raafida","No"
190,"Ananthapuram","Andhra Pradesh","Engine Repair; Tire Alignment","Misaligned tires","Tire alignment","Toyota",2024-08-22,455.84,199.9,"Agbeke Nya","No"
191,"Ananthapuram","Andhra Pradesh","Battery Replacement; General Maintenance","Dead battery","Battery replacement","Hero MotoCorp",2024-10-15,173.37,99.07,"Perkins Matthew","No"
192,"Ananthapuram","Andhra Pradesh","Exhaust Leak; Diagnostics","Exhaust leak","Exhaust system repair","Bajaj Auto",2024-07-03,194.67,105.57,"Reyez Gabriella","No"
193,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Fluid Change","Brake fluid leak","Brake fluid replacement","Mahindra",2024-09-09,493.54,364.22,"Dodson Asre","No"
194,"Ananthapuram","Andhra Pradesh","Tire Alignment; General Maintenance","Tire wear","Tire rotation and balancing","Renault",2024-04-24,329,165.83,"Sublette Skyler","Yes"
195,"Ananthapuram","Andhra Pradesh","Engine Overheating; Tune-Up","Engine overheating","Cooling system flush","Audi",2024-01-10,471.79,193.08,"Buchler Corwin","No"
196,"Ananthapuram","Andhra Pradesh","Brake Repair; Tire Replacement","Body damage","Body repair","Volkswagen",2024-11-04,259.94,193.64,"Wigle Benjamen","No"
197,"Ananthapuram","Andhra Pradesh","Fluid Leak; Oil Change","Fluid leak","Fluid replacement","TVS Motor Company",2024-02-23,233.07,124.42,"Pech John","Yes"
198,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Diagnostics","Check engine light","Diagnostic scan","Hero MotoCorp",2024-07-23,346.65,226.26,"al-Baksh Aliyya","No"
199,"Ananthapuram","Andhra Pradesh","Brake Service; Oil Change","Brake wear","Brake replacement","Hyundai",2024-12-28,118.56,73.34,"al-Abad Rushdi","No"
200,"Ananthapuram","Andhra Pradesh","Tire Replacement; Engine Check","Tire wear","Tire rotation and balancing","Bajaj Auto",2024-09-23,307.79,169.46,"Stewart Amado","Yes"
201,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Brake Fluid Change","Exhaust noise","Exhaust system repair","Ford",2024-01-25,157.43,74.68,"al-Mussa Nabeela","No"
202,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Inspection","Brake noise","Brake pad replacement","Maruti Suzuki",2024-02-21,483.06,276.11,"O'Kain Karagan","No"
203,"Ananthapuram","Andhra Pradesh","Engine Repair; Diagnostics","Engine misfire","Diagnostic scan","Nissan",2024-10-08,320.61,209.14,"Percell Taylor","No"
204,"Ananthapuram","Andhra Pradesh","Tire Rotation; Brake Service","Tire wear","Tire rotation and balancing","Hyundai",2024-08-02,281.76,171.41,"Naipo Hyun-Ah","No"
205,"Ananthapuram","Andhra Pradesh","Fluid Check; Oil Change","Low oil","Oil replacement","Ford",2024-12-11,231.16,153.46,"al-Shahin Tawheed","Yes"
206,"Ananthapuram","Andhra Pradesh","Brake Inspection; General Maintenance","Brake noise","Brake pad replacement","Mahindra",2024-06-08,446.11,308.59,"Buxo Roxana","Yes"
207,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Tune-Up","Engine roughness","Spark plug replacement","Toyota",2024-02-26,213.84,127.18,"Werkele K'Lyn","No"
208,"Ananthapuram","Andhra Pradesh","Transmission Fluid Change; Brake Service","Slipping transmission","Transmission fluid change","Volkswagen",2024-04-14,179.71,99.52,"Hamlin Nicholas","No"
209,"Ananthapuram","Andhra Pradesh","General Maintenance; Tire Inspection","Tire wear","Tire rotation","Audi",2024-12-22,126.79,51.06,"Quimby Jason","No"
210,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Fluid Change","Brake fluid leak","Brake fluid replacement","Tata Motors",2024-10-05,127.48,51.18,"Kim David","Yes"
211,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Engine Check","Exhaust noise","Exhaust system repair","Bajaj Auto",2024-09-26,266.92,213,"Vigil Caleb","Yes"
212,"Ananthapuram","Andhra Pradesh","Battery Inspection; General Maintenance","Dead battery","Battery replacement","Hero MotoCorp",2024-12-31,163.83,72.6,"Pham Christopher","No"
213,"Ananthapuram","Andhra Pradesh","Fluid Leak; Tire Rotation","Fluid leak","Fluid replacement","TVS Motor Company",2024-05-13,147.31,83.59,"Barnes Sade","No"
214,"Ananthapuram","Andhra Pradesh","Engine Repair; Brake Service","Engine overheating","Cooling system flush","Hyundai",2024-12-12,353.47,242.89,"el-El-Sayed Shafaaa","No"
215,"Ananthapuram","Andhra Pradesh","Brake Inspection; Oil Change","Brake noise","Brake pad replacement","Ford",2024-05-08,71.45,49.8,"Williams Courtney","No"
216,"Ananthapuram","Andhra Pradesh","Tire Replacement; Diagnostics","Tire damage","Tire replacement","Tata Motors",2024-08-05,365.38,273.6,"al-Radwan Abdul Maalik","Yes"
217,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Repair","Engine misfiring","Spark plug replacement","Nissan",2024-04-15,208.35,134,"Moua Daniel","No"
218,"Ananthapuram","Andhra Pradesh","Suspension Repair; Oil Change","Steering issues","Suspension adjustment","Kia",2024-07-04,234.02,164.39,"Hutchinson Brianna","Yes"
219,"Ananthapuram","Andhra Pradesh","Brake Service; Tire Inspection","Brake wear","Brake pad replacement","Hero MotoCorp",2024-12-02,419.43,309.92,"Wagner Spikes Eshe","No"
220,"Ananthapuram","Andhra Pradesh","Fluid Check; Engine Diagnostics","Fluid leak","Fluid replacement","Volkswagen",2024-10-11,463.49,299,"al-Hashem Aarifa","Yes"
221,"Ananthapuram","Andhra Pradesh","Tire Alignment; Brake Inspection","Misaligned tires","Tire alignment","Mahindra",2024-01-26,177.14,127.06,"Garnett Bruce","Yes"
222,"Ananthapuram","Andhra Pradesh","Exhaust Leak; General Maintenance","Exhaust noise","Exhaust system repair","Toyota",2024-01-27,482.5,197.41,"Haag Kendra","No"
223,"Ananthapuram","Andhra Pradesh","Brake Repair; Oil Change","Brake noise","Brake pad replacement","Audi",2024-01-07,377.78,214.11,"Gustafson Bryce","No"
224,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Repair","Brake noise","Brake pad replacement","Honda",2024-09-01,358.87,269.14,"Than Sayfa","No"
225,"Ananthapuram","Andhra Pradesh","Transmission Service; Diagnostics","Transmission slipping","Transmission fluid change","Tata Motors",2024-06-02,73.78,48.62,"el-Abraham Yusri","No"
226,"Ananthapuram","Andhra Pradesh","Tire Replacement; Oil Change","Poor fuel economy","Fuel system cleaning","Ford",2024-02-10,227.85,175.4,"Carruthers Jasmine","No"
227,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Brake Service","Exhaust noise","Exhaust system repair","Hyundai",2024-07-30,265.03,124.27,"Howard Brandon","No"
228,"Ananthapuram","Andhra Pradesh","Brake Inspection; Tire Rotation","Misaligned wheels","Wheel alignment","Nissan",2024-08-09,302.11,159.01,"Boyd William","No"
229,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Check","Engine misfiring","Spark plug replacement","Volkswagen",2024-06-07,364.22,262.86,"Ramos Guadalupe","No"
230,"Ananthapuram","Andhra Pradesh","Suspension Repair; Oil Change","Steering issues","Suspension adjustment","Kia",2024-12-14,462.06,367.61,"el-Sala Kameela","No"
231,"Ananthapuram","Andhra Pradesh","Engine Repair; Tire Alignment","Misaligned tires","Tire alignment","Toyota",2024-05-24,328.26,173.63,"Walton Kinberlee","Yes"
232,"Ananthapuram","Andhra Pradesh","Battery Replacement; General Maintenance","Dead battery","Battery replacement","Hero MotoCorp",2024-02-26,242.79,97.23,"Materkowski Shella","Yes"
233,"Ananthapuram","Andhra Pradesh","Exhaust Leak; Diagnostics","Exhaust leak","Exhaust system repair","Bajaj Auto",2024-05-27,293.94,234.23,"Ward Marisa","No"
234,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Fluid Change","Brake fluid leak","Brake fluid replacement","Mahindra",2024-06-11,76.32,35.06,"el-Khalifa Qaaid","No"
235,"Ananthapuram","Andhra Pradesh","Tire Alignment; General Maintenance","Tire wear","Tire rotation and balancing","Renault",2024-08-25,167.39,70.26,"Dupree Bailey","No"
236,"Ananthapuram","Andhra Pradesh","Engine Overheating; Tune-Up","Engine overheating","Cooling system flush","Audi",2024-06-09,228.72,146.14,"Yang Katelien","Yes"
237,"Ananthapuram","Andhra Pradesh","Brake Repair; Tire Replacement","Body damage","Body repair","Volkswagen",2024-03-06,138.99,73.46,"Cave Eric","Yes"
238,"Ananthapuram","Andhra Pradesh","Fluid Leak; Oil Change","Fluid leak","Fluid replacement","TVS Motor Company",2024-01-04,424.37,259.36,"Hills Briana","Yes"
239,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Diagnostics","Check engine light","Diagnostic scan","Hero MotoCorp",2024-11-25,118.8,85.32,"Eisen Melanie","No"
240,"Ananthapuram","Andhra Pradesh","Brake Service; Oil Change","Brake wear","Brake replacement","Hyundai",2024-08-12,411.54,175.96,"Barrett Gillian","No"
241,"Ananthapuram","Andhra Pradesh","Tire Replacement; Engine Check","Tire wear","Tire rotation and balancing","Bajaj Auto",2024-04-26,296.07,200.74,"Trotman William","No"
242,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Brake Fluid Change","Exhaust noise","Exhaust system repair","Ford",2024-01-25,348.04,271.28,"Ashley Claire","Yes"
243,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Inspection","Brake noise","Brake pad replacement","Maruti Suzuki",2024-05-15,127.26,65.04,"Grasso Zhiwen","No"
244,"Ananthapuram","Andhra Pradesh","Engine Repair; Diagnostics","Engine misfire","Diagnostic scan","Nissan",2024-02-24,334.87,167.36,"Owens Jessica","No"
245,"Ananthapuram","Andhra Pradesh","Tire Rotation; Brake Service","Tire wear","Tire rotation and balancing","Hyundai",2024-08-04,190.34,88.27,"el-Mohamad Musaddiq","No"
246,"Ananthapuram","Andhra Pradesh","Fluid Check; Oil Change","Low oil","Oil replacement","Ford",2024-03-25,376.05,161.19,"Rohrbach Sandra","No"
247,"Ananthapuram","Andhra Pradesh","Brake Inspection; General Maintenance","Brake noise","Brake pad replacement","Mahindra",2024-02-14,229.52,142.99,"al-Rabbani Abdur Rahmaan","Yes"
248,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Tune-Up","Engine roughness","Spark plug replacement","Toyota",2024-05-25,486.21,289.75,"Vigil Caleb","Yes"
249,"Ananthapuram","Andhra Pradesh","Transmission Fluid Change; Brake Service","Slipping transmission","Transmission fluid change","Volkswagen",2024-06-18,485.33,290.09,"Chandramouli Sarah","No"
250,"Ananthapuram","Andhra Pradesh","General Maintenance; Tire Inspection","Tire wear","Tire rotation","Audi",2024-05-13,377.02,284.78,"Vinson Bret","Yes"
251,"Ananthapuram","Andhra Pradesh","Battery Replacement; General Maintenance","Dead battery","Battery replacement","Hero MotoCorp",2024-07-17,165.75,68.73,"Salas Jose","Yes"
252,"Ananthapuram","Andhra Pradesh","Exhaust Leak; Diagnostics","Exhaust leak","Exhaust system repair","Bajaj Auto",2024-12-26,149.8,72.13,"Materkowski Shella","Yes"
253,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Fluid Change","Brake fluid leak","Brake fluid replacement","Mahindra",2024-06-24,316.87,191.87,"Bui Sarah","Yes"
254,"Ananthapuram","Andhra Pradesh","Tire Alignment; General Maintenance","Tire wear","Tire rotation and balancing","Renault",2024-09-01,170.38,84.26,"Seth Conni","No"
255,"Ananthapuram","Andhra Pradesh","Engine Overheating; Tune-Up","Engine overheating","Cooling system flush","Audi",2024-11-04,288.98,182.11,"Xiong Hsi Hsi","No"
256,"Ananthapuram","Andhra Pradesh","Brake Repair; Tire Replacement","Body damage","Body repair","Volkswagen",2024-04-13,403.38,239.17,"Davis Nykia","No"
257,"Ananthapuram","Andhra Pradesh","Fluid Leak; Oil Change","Fluid leak","Fluid replacement","TVS Motor Company",2024-11-04,125.63,78.86,"al-Moradi Nabeeha","No"
258,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Diagnostics","Check engine light","Diagnostic scan","Hero MotoCorp",2024-11-14,231.98,106.17,"Xiong Joshua","No"
259,"Ananthapuram","Andhra Pradesh","Brake Service; Oil Change","Brake wear","Brake replacement","Hyundai",2024-07-17,262.21,120.17,"Vanstraten Athena","Yes"
260,"Ananthapuram","Andhra Pradesh","Tire Replacement; Engine Check","Tire wear","Tire rotation and balancing","Bajaj Auto",2024-07-28,440.65,248.93,"Herold Hallie","No"
261,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Brake Fluid Change","Exhaust noise","Exhaust system repair","Ford",2024-12-14,466.57,314.1,"Cerna Erik","Yes"
262,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Inspection","Brake noise","Brake pad replacement","Maruti Suzuki",2024-08-12,446.89,295.56,"Avirett Ryan","Yes"
263,"Ananthapuram","Andhra Pradesh","Engine Repair; Diagnostics","Engine misfire","Diagnostic scan","Nissan",2024-09-14,353.38,270.83,"Leibold Jacob","Yes"
264,"Ananthapuram","Andhra Pradesh","Tire Rotation; Brake Service","Tire wear","Tire rotation and balancing","Hyundai",2024-06-25,477.58,346.36,"al-Assaf Tawheed","No"
265,"Ananthapuram","Andhra Pradesh","Fluid Check; Oil Change","Low oil","Oil replacement","Ford",2024-05-20,282.4,189.31,"Tan Vuong","No"
266,"Ananthapuram","Andhra Pradesh","Brake Inspection; General Maintenance","Brake noise","Brake pad replacement","Mahindra",2024-01-24,309.43,223.72,"Abby Terrence","No"
267,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Tune-Up","Engine roughness","Spark plug replacement","Toyota",2024-05-09,201.35,90.85,"Wilson Katrina","No"
268,"Ananthapuram","Andhra Pradesh","Transmission Fluid Change; Brake Service","Slipping transmission","Transmission fluid change","Volkswagen",2024-06-13,206.3,103.21,"Thoennes Paul","No"
269,"Ananthapuram","Andhra Pradesh","General Maintenance; Tire Inspection","Tire wear","Tire rotation","Audi",2024-07-09,59.01,31.43,"Shrestha Angad","No"
270,"Ananthapuram","Andhra Pradesh","Oil Change; Tire Alignment","Misaligned tires","Tire alignment","Hyundai",2024-03-16,276.27,155.51,"Petrov Tyler","No"
271,"Ananthapuram","Andhra Pradesh","Brake Repair; Engine Check","Brake noise","Brake pad replacement","Ford",2024-09-25,441.97,289.11,"Robles Michael","Yes"
272,"Ananthapuram","Andhra Pradesh","Transmission Repair; Oil Change","Slipping transmission","Transmission fluid change","Tata Motors",2024-06-18,52.84,38.23,"Marotta Jesse","Yes"
273,"Ananthapuram","Andhra Pradesh","Exhaust Leak; Tire Inspection","Exhaust noise","Exhaust system repair","Hero MotoCorp",2024-07-16,82.43,41.51,"Vanstraten Athena","Yes"
274,"Ananthapuram","Andhra Pradesh","Fluid Leak; Brake Inspection","Fluid leak","Fluid replacement","Audi",2024-12-27,123.9,90.17,"Rivera Thi","No"
275,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Oil Change","Engine misfire","Diagnostic scan","Volkswagen",2024-08-21,396.65,161.12,"Rocha Ira","Yes"
276,"Ananthapuram","Andhra Pradesh","Suspension Repair; General Maintenance","Steering issues","Suspension adjustment","Tata Motors",2024-03-04,380.83,252.02,"Jones Cyenna","No"
277,"Ananthapuram","Andhra Pradesh","Tire Rotation; Brake Service","Tire wear","Tire rotation","Kia",2024-03-20,487.34,353.17,"Yang Katelien","Yes"
278,"Ananthapuram","Andhra Pradesh","Brake Fluid Change; Oil Change","Brake fluid leak","Brake fluid replacement","Bajaj Auto",2024-02-05,259.91,151.93,"Jones Cynthia","No"
279,"Ananthapuram","Andhra Pradesh","Engine Check; Tire Replacement","Tire damage","Tire replacement","Hero MotoCorp",2024-10-17,83.47,40.18,"Franco Savannah","No"
280,"Ananthapuram","Andhra Pradesh","Transmission Fluid Change; Diagnostics","Transmission slipping","Transmission fluid change","Hyundai",2024-09-09,341.97,139.36,"Williams Keyonna","No"
281,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Repair","Brake noise","Brake pad replacement","Renault",2024-12-08,391.37,200.87,"Lange Brooke","No"
282,"Ananthapuram","Andhra Pradesh","Fluid Check; General Maintenance","Fluid leak","Fluid replacement","Toyota",2024-11-18,111.7,85.57,"Zuni Mitchell","No"
283,"Ananthapuram","Andhra Pradesh","Engine Overheating; Tune-Up","Engine overheating","Cooling system flush","Ford",2024-02-17,228.46,176.71,"Khabir Zyre","Yes"
284,"Ananthapuram","Andhra Pradesh","Tire Alignment; Brake Fluid Change","Misaligned tires","Tire alignment","Kia",2024-04-20,151.24,93.32,"Pech John","Yes"
285,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Oil Change","Exhaust noise","Exhaust system repair","Honda",2024-10-05,76.08,37.11,"Santistevan Tony","No"
286,"Ananthapuram","Andhra Pradesh","Brake Inspection; Tire Rotation","Brake noise","Brake pad replacement","Bajaj Auto",2024-11-12,228.15,135.93,"Kelly Megan","No"
287,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Oil Change","Check engine light","Diagnostic scan","Nissan",2024-10-21,79.22,57.07,"el-Muhammad Jaadallah","No"
288,"Ananthapuram","Andhra Pradesh","Fluid Leak; Tire Replacement","Fluid leak","Fluid replacement","Tata Motors",2024-08-09,151.65,85.39,"Flores Nathaly","No"
289,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Repair","Engine roughness","Spark plug replacement","Hyundai",2024-10-13,74.58,32.93,"Lawson Marc","No"
290,"Ananthapuram","Andhra Pradesh","Brake Repair; Oil Change","Brake noise","Brake pad replacement","Ford",2024-08-09,351.63,180.11,"Andrade Alexandra","No"
291,"Ananthapuram","Andhra Pradesh","Tire Alignment; Brake Inspection","Misaligned wheels","Wheel alignment","Renault",2024-03-13,183.98,100.19,"Broeren Sky","No"
292,"Ananthapuram","Andhra Pradesh","Suspension Repair; Tire Inspection","Steering issues","Suspension adjustment","Kia",2024-10-18,95.32,48.01,"Hockaday Rachel","Yes"
293,"Ananthapuram","Andhra Pradesh","Exhaust Leak; General Maintenance","Exhaust noise","Exhaust system repair","Hyundai",2024-08-13,82.36,48.45,"Barlow Julia","Yes"
294,"Ananthapuram","Andhra Pradesh","Engine Overheating; Tune-Up","Engine overheating","Cooling system flush","Volkswagen",2024-10-04,446.2,243.78,"Hakeem Roy","No"
295,"Ananthapuram","Andhra Pradesh","Oil Change; Tire Alignment","Misaligned tires","Tire alignment","Hyundai",2024-06-20,389.41,174.65,"Laiche Rio","No"
296,"Ananthapuram","Andhra Pradesh","Brake Repair; Engine Check","Brake noise","Brake pad replacement","Ford",2024-10-23,417.47,174.84,"Tarrant Brittany","No"
297,"Ananthapuram","Andhra Pradesh","Transmission Repair; Oil Change","Slipping transmission","Transmission fluid change","Tata Motors",2024-12-13,491.96,248.5,"Santistevan-Minnick Malachai","No"
298,"Ananthapuram","Andhra Pradesh","Exhaust Leak; Tire Inspection","Exhaust noise","Exhaust system repair","Hero MotoCorp",2024-04-02,96.62,76.08,"Gallegos-Aceves Katlynn","No"
299,"Ananthapuram","Andhra Pradesh","Fluid Leak; Brake Inspection","Fluid leak","Fluid replacement","Audi",2024-05-04,94.57,56.31,"el-Rauf Aneesa","No"
300,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Oil Change","Engine misfire","Diagnostic scan","Volkswagen",2024-10-25,409.47,242.05,"Curtis Nolan","No"
301,"Ananthapuram","Andhra Pradesh","Suspension Repair; General Maintenance","Steering issues","Suspension adjustment","Tata Motors",2024-02-08,403.06,281.95,"al-Hossain Manaahil","Yes"
302,"Ananthapuram","Andhra Pradesh","Tire Rotation; Brake Service","Tire wear","Tire rotation","Kia",2024-08-24,54.24,36.18,"Williams Bisma","No"
303,"Ananthapuram","Andhra Pradesh","Brake Fluid Change; Oil Change","Brake fluid leak","Brake fluid replacement","Bajaj Auto",2024-06-13,400.58,168.15,"al-Nasrallah Mu,Aawiya","No"
304,"Ananthapuram","Andhra Pradesh","Engine Check; Tire Replacement","Tire damage","Tire replacement","Hero MotoCorp",2024-04-16,378.23,256.46,"Bethel Jenny","No"
305,"Ananthapuram","Andhra Pradesh","Transmission Fluid Change; Diagnostics","Transmission slipping","Transmission fluid change","Hyundai",2024-02-02,333.56,181.89,"Sekich Zachary","Yes"
306,"Ananthapuram","Andhra Pradesh","Oil Change; Brake Repair","Brake noise","Brake pad replacement","Renault",2024-03-23,266.41,200.78,"al-Radwan Abdul Maalik","Yes"
307,"Ananthapuram","Andhra Pradesh","Fluid Check; General Maintenance","Fluid leak","Fluid replacement","Toyota",2024-12-19,120.49,85.56,"Li Malachai","No"
308,"Ananthapuram","Andhra Pradesh","Engine Overheating; Tune-Up","Engine overheating","Cooling system flush","Ford",2024-10-03,53.7,24.47,"al-Pasha Naasif","No"
309,"Ananthapuram","Andhra Pradesh","Tire Alignment; Brake Fluid Change","Misaligned tires","Tire alignment","Kia",2024-07-27,253.61,131.37,"Bui Cody","Yes"
310,"Ananthapuram","Andhra Pradesh","Exhaust Repair; Oil Change","Exhaust noise","Exhaust system repair","Honda",2024-03-16,271.53,122.31,"Huang Jibin","No"
311,"Ananthapuram","Andhra Pradesh","Brake Inspection; Tire Rotation","Brake noise","Brake pad replacement","Bajaj Auto",2024-04-03,225.31,143.29,"el-Madani Naqaa","No"
312,"Ananthapuram","Andhra Pradesh","Engine Diagnostics; Oil Change","Check engine light","Diagnostic scan","Nissan",2024-10-17,259.1,161.85,"el-Salloum Jaasim","Yes"
313,"Ananthapuram","Andhra Pradesh","Fluid Leak; Tire Replacement","Fluid leak","Fluid replacement","Tata Motors",2024-01-30,370.98,250.59,"Nichols Taylor","No"
314,"Ananthapuram","Andhra Pradesh","General Maintenance; Engine Repair","Engine roughness","Spark plug replacement","Hyundai",2024-08-04,74.89,39.28,"Begaye Skylar","No"
315,"Ananthapuram","Andhra Pradesh","Brake Repair; Oil Change","Brake noise","Brake pad replacement","Ford",2024-06-23,209.65,134.64,"Smith Caleb","No"
316,"Ananthapuram","Andhra Pradesh","Tire Alignment; Brake Inspection","Misaligned wheels","Wheel alignment","Renault",2024-11-18,411.27,327.54,"Norman Osheonna","Yes"
